G2 Grape,,
Wavelength (nm),Abs,
800.0465698,0.000987143,
798.9385376,3.36E-05,
797.9685669,-1.21E-05,
796.99823,-0.0002148,
796.0275269,0.00050196,
795.0564575,0.001649866,
793.946228,0.001017137,
792.9743652,0.002320445,
792.0020752,0.001074457,
791.02948,-0.000682491,
790.0564575,0.001513936,
788.9439697,0.000209054,
787.9702148,-2.90E-06,
786.9960327,-0.001157939,
786.0214844,0.00116716,
785.0465698,-0.000456751,
783.9318848,-0.00077449,
782.9561768,0.000428313,
781.9801025,-0.001256652,
781.0036621,0.000839413,
780.0268555,0.00069251,
779.0496826,0.000790241,
777.9324341,0.001913221,
776.9544678,0.000909394,
775.9761353,0.001246722,
774.9973755,0.000499679,
774.0183105,-0.000226236,
773.0388794,0.002417502,
772.059082,0.001072744,
770.9388428,0.000100812,
769.958252,-0.000830766,
768.9772949,-0.000546264,
767.9959717,-0.000488866,
767.0143433,0.001646358,
766.0322876,0.000789852,
765.0498657,0.000857827,
764.0671387,0.000593608,
762.9435425,0.001042072,
761.9599609,0.000950744,
760.9760742,0.001696588,
759.9918213,0.001599797,
759.0072021,-0.00016243,
758.0222168,0.001186602,
757.0369263,-0.001507155,
756.0512085,0.001832887,
755.0651855,-0.000326248,
753.9378052,0.001613827,
752.9509888,0.000147368,
751.9638672,0.001591483,
750.9763184,0.000357114,
749.9884644,0.000470292,
749.0002441,0.001041761,
748.0116577,0.000911365,
747.0227051,0.000443394,
746.0333862,0.000883221,
745.0437622,0.00107892,
744.053772,0.001023831,
743.0634155,0.000307168,
741.9311523,0.000696554,
740.9400635,0.0001866,
739.9486084,0.000719838,
738.9568481,0.000574271,
737.9646606,0.000793716,
736.972168,0.000729483,
735.9793701,0.001509962,
734.986145,0.000654787,
733.9926147,-4.56E-06,
732.9987183,8.10E-05,
732.0045166,0.000167851,
731.0099487,0.000806605,
730.0150146,0.000383204,
729.0197144,0.000919536,
728.0241089,0.000717893,
727.0281372,0.001027983,
726.0318604,0.000382737,
725.0352173,0.000726216,
724.038208,0.002643323,
723.0408936,0.00120459,
722.0432129,0.001204486,
721.0452271,0.000917772,
720.046875,0.001549629,
719.0481567,0.001039867,
718.0491333,0.001019731,
717.0498047,0.001760574,
716.0500488,0.000806501,
715.0500488,0.000515929,
714.0496216,0.000268598,
713.0489502,0.000742397,
712.0478516,0.001695133,
711.0464478,0.00146687,
710.0447388,0.002001266,
709.0426636,0.000919095,
708.0402832,0.001661403,
707.0375366,0.001434768,
706.0344849,0.001996949,
705.0310669,0.001902249,
704.0273438,0.001320533,
703.0232544,0.00181035,
702.0188599,0.002117084,
701.0140991,0.001603954,
700.0090332,0.002075492,
699.0036621,0.003085541,
697.9979248,0.0029022,
696.9918823,0.002910565,
695.9854736,0.003072506,
694.9787598,0.003333021,
693.9717407,0.002818583,
692.9643555,0.00372829,
691.956665,0.002653637,
690.9486694,0.003802185,
689.9403076,0.003675579,
688.9316406,0.00484071,
688.0667725,0.005112503,
687.0574951,0.004705322,
686.0479126,0.004748606,
685.0379639,0.006506975,
684.02771,0.005995774,
683.0171509,0.007202157,
682.0062256,0.008042198,
680.9949951,0.007819298,
679.9834595,0.009121085,
678.9716187,0.00919987,
677.9594116,0.010458181,
676.9468994,0.011793261,
675.934082,0.0140236,
675.0656738,0.013999566,
674.0523071,0.014268994,
673.0385742,0.01172818,
672.0244751,0.017635301,
671.0101318,0.018434716,
669.9954224,0.021003071,
668.9804077,0.023118511,
667.9650879,0.025695106,
666.9494629,0.028711103,
665.9335327,0.031399742,
665.062439,0.032982521,
664.0458984,0.037454609,
663.0290527,0.039806861,
662.0119019,0.043543175,
660.9944458,0.047976121,
659.9766235,0.052030437,
658.9585571,0.057225809,
657.9401245,0.060994126,
657.0669556,0.067832254,
656.0479736,0.073391333,
655.0286865,0.080740437,
654.0090332,0.087256715,
652.9891357,0.094309568,
651.9689331,0.101248704,
650.9483643,0.109088384,
649.9275513,0.116740175,
649.0523071,0.12559104,
648.0308838,0.135060713,
647.0091553,0.143021077,
645.9871216,0.153615162,
644.9648438,0.161572263,
643.9421997,0.171341553,
643.0653687,0.179593056,
642.0421753,0.188942134,
641.0186768,0.198388994,
639.994873,0.20818758,
638.9707642,0.215990007,
637.9464111,0.222783268,
637.0680542,0.228701592,
636.0430908,0.235803977,
635.0178223,0.24153851,
633.9922485,0.246041298,
632.9664307,0.249823779,
631.9402466,0.254768729,
631.0604248,0.255073935,
630.0336914,0.257296056,
629.0067139,0.256899506,
627.9793701,0.255919248,
626.9517822,0.253574044,
626.0707397,0.251827508,
625.0425415,0.248360097,
624.0140991,0.245274603,
622.9853516,0.240162924,
621.9562988,0.23529157,
620.9269409,0.228945926,
620.0444336,0.224021241,
619.0145874,0.218377784,
617.984375,0.211709961,
616.9539185,0.204981372,
616.0704346,0.198728353,
615.0394287,0.192056298,
614.0081177,0.185333058,
612.9765015,0.178450525,
611.9446411,0.171797946,
611.0599365,0.16725266,
610.0275269,0.160797283,
608.994812,0.155086353,
607.961853,0.14875333,
606.9285278,0.143165141,
606.0426636,0.138592005,
605.0088501,0.132815182,
603.9747314,0.129470319,
602.9403687,0.124580726,
602.0535278,0.121084012,
601.0186157,0.117288798,
599.9833984,0.112847947,
598.947937,0.110416599,
598.0601807,0.108405203,
597.0241699,0.105768941,
595.987854,0.102374405,
594.9512939,0.100160569,
594.062561,0.098157883,
593.0255127,0.09640795,
591.9880981,0.095123768,
590.9505005,0.09338297,
590.0608521,0.091900371,
589.022644,0.090475127,
587.9841919,0.088343479,
586.9454956,0.086850792,
586.0549316,0.086712144,
585.015686,0.085586391,
583.9761963,0.08477325,
582.9364014,0.08338026,
582.0449219,0.082944259,
581.0046387,0.081531383,
579.9640503,0.080203287,
579.0718994,0.079653054,
578.0308228,0.079265073,
576.9894409,0.077707976,
575.9478149,0.077406429,
575.0548096,0.076707736,
574.0126343,0.075917475,
572.9702148,0.0761595,
571.9275513,0.075862169,
571.0336304,0.07546407,
569.9904785,0.075427942,
568.9470215,0.075838,
568.0524292,0.076375827,
567.0084839,0.076587014,
565.9642334,0.078356788,
565.0689697,0.078474149,
564.024292,0.079923302,
562.9793091,0.081401661,
561.934021,0.083366089,
561.0379028,0.085042551,
559.9921875,0.086566493,
558.946167,0.089541115,
558.0493774,0.091992468,
557.0029297,0.095506348,
555.9561157,0.098094642,
555.0587158,0.101325482,
554.0114746,0.10435915,
552.9639893,0.107484505,
552.065918,0.111184001,
551.0178833,0.115546204,
549.9696655,0.118836343,
549.0709839,0.12217214,
548.0222168,0.125430197,
546.9732056,0.128607139,
546.0739136,0.133224547,
545.0244141,0.136423871,
543.9746704,0.14002575,
543.074707,0.141974837,
542.0245361,0.145812705,
540.9740601,0.148779258,
540.0734863,0.151839197,
539.022522,0.154569089,
537.9713135,0.157228008,
537.0701294,0.15930967,
536.0184326,0.161099061,
534.9665527,0.163710535,
534.0646973,0.165929243,
533.0123291,0.167316392,
531.9596558,0.169312507,
531.0571899,0.170550481,
530.0040894,0.17210497,
528.9507446,0.173632965,
528.0476685,0.175035611,
526.9938965,0.176163629,
525.9398193,0.177068353,
525.0361328,0.178391501,
523.9816284,0.179828838,
522.9268188,0.179914698,
522.022522,0.18097207,
520.9672852,0.181475192,
520.0626221,0.182788894,
519.006958,0.182516068,
517.9509888,0.183690831,
517.0457153,0.184476137,
515.9893188,0.185330331,
514.9326782,0.185485721,
514.0267944,0.185734734,
512.9697266,0.186658353,
512.0634766,0.187444747,
511.0059509,0.187537834,
509.9481506,0.188094989,
509.0413208,0.188372701,
507.9830933,0.18849583,
506.9246216,0.188746005,
506.0171814,0.188881189,
504.9582825,0.188202426,
504.0504456,0.188495383,
502.9910889,0.1892934,
501.9315186,0.188096389,
501.0231018,0.187228411,
499.9630737,0.187609747,
499.0542908,0.185765937,
497.9938354,0.185029626,
496.933136,0.182651073,
496.0237732,0.182631195,
494.9626465,0.181357965,
494.052887,0.180223286,
492.991333,0.177382633,
491.9295349,0.175582618,
491.0192261,0.174236506,
489.9570007,0.171656519,
489.0463257,0.169443801,
487.9836426,0.167288303,
487.0726013,0.165043011,
486.0095215,0.161906272,
484.9461975,0.159028396,
484.0346069,0.157840177,
482.9708557,0.155741632,
482.0588989,0.151674286,
480.9947205,0.149460062,
479.9303284,0.146910325,
479.0177917,0.144371644,
477.9529724,0.142528981,
477.0401001,0.140013427,
475.9748535,0.136168778,
475.061615,0.13348347,
473.9959717,0.131301254,
472.9300842,0.128082529,
472.0162964,0.125519142,
470.9500122,0.122833625,
470.0358582,0.120702326,
468.9691467,0.118130967,
468.054657,0.11562413,
466.9875488,0.112653576,
466.0726929,0.110304624,
465.0051575,0.106673762,
463.9374084,0.105386794,
463.0220337,0.103090234,
461.9538879,0.099483497,
461.038147,0.098227173,
459.9696045,0.095511086,
459.0534973,0.093929425,
457.9845581,0.090874374,
457.0681152,0.089340165,
455.9987488,0.08676926,
454.9291687,0.085063927,
454.0122375,0.081590503,
452.9422607,0.079725668,
452.0249634,0.07788974,
450.9545898,0.075646743,
450.0369568,0.073573224,
448.9661865,0.072519124,
448.0482178,0.071102142,
446.9770508,0.06956733,
446.0587463,0.068323746,
444.9871826,0.06660632,
444.0685425,0.065565512,
442.996582,0.064458869,
441.9244385,0.06335938,
441.0052795,0.063042365,
439.9327393,0.061717682,
439.0132446,0.061862305,
437.9403076,0.059811976,
437.0205078,0.0613572,
435.9472046,0.061100367,
435.0270386,0.061256886,
433.9533386,0.060850743,
433.0328674,0.060925201,
431.9588013,0.061391041,
431.0379944,0.062559895,
429.963562,0.061815564,
429.0424194,0.061945651,
427.9675903,0.063152701,
427.0461426,0.064370774,
425.9709473,0.064865001,
425.0491943,0.066196144,
423.9736023,0.066244923,
423.0515137,0.06796658,
421.9755859,0.067851409,
421.0531616,0.070122242,
419.9768372,0.071028173,
419.0541382,0.071995154,
417.9774475,0.073362581,
417.0544128,0.074154556,
415.977356,0.077081591,
415.0540161,0.076551691,
413.976593,0.076988339,
413.0529175,0.078265332,
411.9751587,0.078989238,
411.051178,0.079947077,
409.9730225,0.079084657,
409.0487671,0.080949329,
407.9702454,0.079780191,
407.0456543,0.079726256,
405.9667969,0.079669379,
405.0419006,0.078641556,
403.9627075,0.078373127,
403.0375061,0.077755347,
401.9579163,0.07600683,
401.0324402,0.074225336,
399.9525146,0.073360682,
,,
G2 Grape,,
G2 Grape,,
Collection Time: 9/20/2017 4:32:52 PM,,
Operator Name  :,,
Scan Software Version: 3.00(339),,
Parameter List :,,
Instrument                        Cary 50,,
Instrument Version                3.00,,
Start (nm)                        800.0,,
Stop (nm)                         400.0,,
X Mode                            Nanometers,,
Y Mode                            Abs,,
UV-Vis Scan Rate (nm/min)         600.00,,
UV-Vis Data Interval (nm)         1.00,,
UV-Vis Ave. Time (sec)            0.1000,,
Beam Mode                         Dual Beam,,
Baseline Correction               On,,
Baseline Type                     Baseline correction,,
Baseline File Name,,
Baseline Std Ref File Name,,
Cycle Mode                        Off,,
Comments,,
Method Log     :,,
Method Name    :,,
Date/Time stamp: 9/20/2017 4:31:00 PM,,
Method Modifications:,,
UVVIS SAT Changed: 9/20/2017 4:31:25 PM, Old:0.0125, New:0.1000
Common SAT Changed: 9/20/2017 4:31:25 PM, Old:0.0125, New:0.1000
X Stop nm Changed: 9/20/2017 4:31:28 PM, Old:  200.0, New:  400.0
Common Interval nm Changed: 9/20/2017 4:31:28 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 9/20/2017 4:31:28 PM, Old:0, New:1
End Method Modifications,,
<Current Wavelength> ,402,
