pwrade lemon lime,,
Wavelength (nm),Abs,
800.0012817,0.090443119,
799.0314331,0.091491297,
798.0611572,0.092350945,
796.9518433,0.092402786,
795.9807739,0.090741709,
795.0093384,0.092101872,
794.0375366,0.095785454,
793.0653687,0.093943208,
791.9537964,0.093907475,
790.980835,0.09713275,
790.0074463,0.094371751,
789.0337524,0.093498982,
788.0596313,0.094183244,
786.9459229,0.095971331,
785.9710083,0.095138595,
784.9957275,0.093983993,
784.0200806,0.094729386,
783.0440674,0.096516721,
782.067688,0.091771454,
780.951355,0.09833052,
779.9741821,0.09684439,
778.9966431,0.095734082,
778.0187378,0.097530611,
777.0404053,0.098736927,
776.0617676,0.097611696,
774.9428711,0.098073229,
773.9634399,0.098708369,
772.9836426,0.099753618,
772.003479,0.09774524,
771.0229492,0.097823642,
770.0420532,0.102458231,
769.060791,0.101157889,
767.9389038,0.100000113,
766.9569092,0.102126233,
765.9744873,0.102353469,
764.9917603,0.102367133,
764.008606,0.10178683,
763.0251465,0.101817854,
762.0413208,0.103156701,
761.0571289,0.103028998,
759.9318848,0.102305695,
758.9468994,0.103807807,
757.9616089,0.103606358,
756.9758911,0.10465353,
755.9898682,0.10459365,
755.003479,0.104240269,
754.0167236,0.104758419,
753.0296021,0.106132828,
752.0421143,0.105263904,
751.0543213,0.106516235,
750.0661011,0.105603755,
748.9363403,0.105200537,
747.9473877,0.107345909,
746.9581299,0.106775962,
745.9684448,0.106726088,
744.9784546,0.107726738,
743.9881592,0.109032951,
742.9974365,0.108633123,
742.0064087,0.109665804,
741.0150146,0.109601162,
740.0232544,0.110918284,
739.0311279,0.110129662,
738.0386963,0.110779449,
737.0458984,0.110832602,
736.0527344,0.11101611,
735.0592651,0.112284556,
734.0654297,0.111999966,
732.9291992,0.112378568,
731.9346313,0.112581171,
730.9396973,0.11258366,
729.944397,0.11401809,
728.9487915,0.113556922,
727.9528198,0.113666751,
726.956543,0.114523649,
725.9598999,0.115518473,
724.9628906,0.116717517,
723.9655762,0.117205925,
722.9678955,0.115503207,
721.9699097,0.116340093,
720.9715576,0.117360085,
719.9728394,0.118217453,
718.9738159,0.117935576,
717.9744263,0.118351303,
716.9747314,0.119110569,
715.9746704,0.118745551,
714.9742432,0.118605971,
713.9735107,0.119660825,
712.9724731,0.120502457,
711.9710693,0.120876476,
710.9692993,0.120848611,
709.9672241,0.121406794,
708.9648438,0.12289872,
707.9620972,0.121987261,
706.9590454,0.122896344,
705.9556274,0.122519523,
704.9518433,0.123278104,
703.9477539,0.124283351,
702.9433594,0.12431661,
701.9385986,0.124738492,
700.9335327,0.125429571,
699.9281616,0.125165418,
699.0661011,0.125705361,
698.0600586,0.125864744,
697.0537109,0.1269743,
696.0470581,0.127766728,
695.0400391,0.127782881,
694.0327148,0.128600046,
693.0250854,0.128867447,
692.0170898,0.129802376,
691.008728,0.129152194,
690.0001221,0.130645752,
688.9911499,0.131904751,
687.9818726,0.131987542,
686.972229,0.131265402,
685.9622803,0.132392332,
684.9520264,0.132249594,
683.9414063,0.132726789,
682.930481,0.134108976,
682.0637817,0.134335101,
681.0522461,0.134037077,
680.0404053,0.135703236,
679.0282593,0.135993287,
678.0158081,0.136569873,
677.0029907,0.136716023,
675.9898682,0.136684537,
674.9764404,0.136986598,
673.9627075,0.137900382,
672.9486084,0.137377992,
671.9342041,0.139322877,
671.0645142,0.140135109,
670.0494995,0.140274495,
669.0342407,0.139242336,
668.0186157,0.141813979,
667.0026855,0.140700162,
665.9864502,0.141182706,
664.9699097,0.142481357,
663.9530029,0.143512294,
662.9358521,0.143641681,
662.0637207,0.143981248,
661.0459595,0.144358933,
660.0278931,0.145348504,
659.0095215,0.144921988,
657.9907837,0.145538643,
656.9718018,0.14664498,
655.9524536,0.147582933,
654.9328613,0.147641406,
654.0585938,0.148700789,
653.0383911,0.150392965,
652.0178833,0.149614394,
650.9970703,0.150576145,
649.9759521,0.150019497,
648.9545288,0.149741143,
647.9328003,0.152234197,
647.0567627,0.152412012,
646.0344849,0.154010624,
645.0118408,0.152943015,
643.9889526,0.153578803,
642.9656982,0.154476062,
641.9421997,0.154744312,
641.0646362,0.154998422,
640.0405273,0.156317577,
639.0161743,0.156445816,
637.9914551,0.157042384,
636.9664917,0.156916082,
635.9411621,0.156932131,
635.0621338,0.158532143,
634.0362549,0.159189552,
633.0101318,0.159151048,
631.9836426,0.159295484,
630.9569092,0.160670668,
629.9298706,0.161059827,
629.0493164,0.162280589,
628.0217285,0.161809325,
626.9938354,0.162938014,
625.9656372,0.163468584,
624.9371338,0.164532825,
624.0553589,0.164312944,
623.0263062,0.165700272,
621.9970093,0.166415826,
620.9673462,0.167506456,
619.937439,0.168299899,
619.0544434,0.168534398,
618.0239868,0.169277683,
616.9932251,0.16973199,
615.9621582,0.170247108,
614.9308472,0.171216741,
614.0466309,0.171664402,
613.0147705,0.172503904,
611.982605,0.172233298,
610.9501343,0.173372045,
610.0649414,0.174708337,
609.0319824,0.175030768,
607.9987183,0.175369233,
606.9651489,0.176334038,
605.9312744,0.17646715,
605.0449219,0.177226812,
604.0105591,0.178577378,
602.9758911,0.179216936,
601.940918,0.17988728,
601.0535889,0.180319622,
600.0181274,0.180873677,
598.9823608,0.181786194,
597.9463501,0.183402792,
597.0580444,0.18322596,
596.0214844,0.184369147,
594.9846802,0.184489995,
593.9475098,0.186348736,
593.0583496,0.187153935,
592.0206909,0.187769517,
590.9827881,0.188421473,
589.9445801,0.188770711,
589.0544434,0.189592794,
588.0157471,0.190001667,
586.9767456,0.191941872,
585.937439,0.191255331,
585.0464478,0.192162499,
584.0066528,0.192662701,
582.9665527,0.193977803,
581.9262085,0.19480069,
581.0343018,0.195904568,
579.9934082,0.196702436,
578.9523315,0.197318137,
578.0596924,0.198189125,
577.0180664,0.198922738,
575.9761353,0.200257912,
574.93396,0.200981334,
574.0404663,0.201076046,
572.9978027,0.202378675,
571.954834,0.204252288,
571.0606689,0.203950822,
570.0172119,0.20461148,
568.9735107,0.205466807,
567.9295044,0.207118839,
567.0344238,0.207728028,
565.9899292,0.208757535,
564.9451904,0.209752068,
564.0494995,0.211532638,
563.0042114,0.211603761,
561.9587402,0.212171048,
561.0623169,0.214090571,
560.0163574,0.214106381,
558.9700317,0.216087788,
558.0730591,0.215685427,
557.0263062,0.217164308,
555.979248,0.218043387,
554.9319458,0.219263524,
554.0340576,0.219392777,
552.9863281,0.220945612,
551.9382935,0.221092269,
551.0397339,0.223002151,
549.9912109,0.223554209,
548.9424438,0.225196317,
548.0432739,0.225908712,
546.9940186,0.227418244,
545.944519,0.228498757,
545.0447388,0.229268059,
543.994751,0.229601339,
542.944458,0.230762422,
542.0440674,0.231900632,
540.9933472,0.233038977,
539.9423218,0.233689025,
539.0412598,0.234712169,
537.9898071,0.235640854,
536.9381104,0.235989749,
536.036438,0.238297567,
534.9842529,0.239378721,
533.9318237,0.240295693,
533.029541,0.241239339,
531.9766235,0.242250517,
531.0739746,0.243607879,
530.0205688,0.244808033,
528.96698,0.245577961,
528.0636597,0.246134684,
527.0095825,0.247666031,
525.9552612,0.249043346,
525.0513306,0.250223219,
523.996521,0.251696557,
522.9415283,0.253786385,
522.0369873,0.253583729,
520.9815063,0.25508675,
519.9257813,0.256523907,
519.0206299,0.258342356,
517.9644165,0.258651137,
517.0588989,0.260258496,
516.0022583,0.261769801,
514.9453735,0.262817919,
514.0392456,0.2643601,
512.9819336,0.265983343,
512.0754395,0.267339349,
511.0176392,0.268878162,
509.9595947,0.27084747,
509.0525208,0.271796614,
507.9940186,0.274376899,
506.9353027,0.276527762,
506.0276489,0.277587891,
504.9684753,0.279991657,
504.0604248,0.281329304,
503.000824,0.283478767,
501.9409485,0.285964817,
501.0323181,0.288648456,
499.9720459,0.291314095,
499.0630188,0.293157429,
498.0023193,0.296457022,
496.9413452,0.299860656,
496.0317688,0.303505033,
494.9703674,0.307254881,
494.0604248,0.310114652,
492.9985657,0.314110816,
491.9365234,0.318154633,
491.026001,0.322037965,
489.963501,0.327357918,
489.0526123,0.332020849,
487.9896851,0.335966557,
486.9265137,0.340956986,
486.0150757,0.346372157,
484.9514771,0.352043301,
484.0396729,0.357358605,
482.975647,0.362574965,
482.0634766,0.367062569,
480.999054,0.372959018,
479.9343872,0.379237711,
479.021637,0.384196311,
477.9565735,0.390099019,
477.043457,0.394655705,
475.9779663,0.400401354,
475.0645142,0.404999733,
473.9985962,0.41117093,
472.9324646,0.416714311,
472.0184631,0.422259599,
470.9519043,0.426747054,
470.0375366,0.431418955,
468.9705811,0.437242091,
468.0558472,0.442316502,
466.9884949,0.447848082,
466.0734253,0.452179223,
465.0056458,0.45703584,
463.9376221,0.462215662,
463.0220337,0.468518674,
461.9536133,0.473652303,
461.0376587,0.478481621,
459.9688416,0.483769774,
459.0525513,0.488367528,
457.9833374,0.494535953,
457.0667114,0.500051141,
455.9970703,0.505190611,
454.9272461,0.511669755,
454.0100708,0.515568078,
452.9398499,0.521011651,
452.0223389,0.526396573,
450.9516907,0.531778574,
450.033844,0.535667777,
448.9628296,0.54108417,
448.0446472,0.544422627,
446.9732361,0.549720347,
446.054718,0.553169787,
444.9829102,0.558040559,
444.0640259,0.561866641,
442.9918518,0.565479875,
442.0726318,0.568783104,
441.000061,0.573339403,
439.9272766,0.576016605,
439.0075684,0.579691351,
437.9343872,0.582621813,
437.0143433,0.584729254,
435.9407959,0.588436782,
435.0204163,0.590971828,
433.9464722,0.593991995,
433.0257874,0.596031487,
431.9514771,0.59879905,
431.0304565,0.60182476,
429.9557495,0.604668081,
429.0344238,0.606262982,
427.9593506,0.607936442,
427.0376892,0.610374212,
425.9622192,0.612805724,
425.0402527,0.613980651,
423.9644165,0.617647111,
423.0421143,0.619164169,
421.9659424,0.621586323,
421.0433044,0.621949852,
419.9667358,0.624751926,
419.0438232,0.625893951,
417.9668884,0.628082573,
417.0436401,0.628848136,
415.9663391,0.630117476,
415.0427551,0.631664991,
413.9651184,0.634464085,
413.0412292,0.635913074,
411.9631958,0.636921942,
411.039032,0.637184143,
409.9606323,0.638858676,
409.0361328,0.640025497,
407.9573975,0.641498029,
407.0325928,0.642213404,
405.9534912,0.643918693,
405.0283813,0.644086957,
403.9489441,0.644922018,
403.0235291,0.646541655,
401.9437256,0.647693217,
401.0180054,0.647585213,
399.9378357,0.649102449,
399.0118408,0.64933753,
397.9313049,0.65106982,
397.0050049,0.651486933,
395.9241333,0.653964758,
394.9975281,0.653746605,
394.0707703,0.655271769,
392.9894104,0.654991925,
392.0623779,0.655930042,
390.9806519,0.656236589,
390.0533142,0.657792866,
388.9712524,0.659018457,
388.0436401,0.659813047,
386.9612427,0.659938216,
386.0333252,0.661742151,
384.950592,0.662116528,
384.0223694,0.662654102,
382.9393005,0.662123144,
382.0108032,0.663232923,
380.9273987,0.666051626,
379.9985962,0.664866149,
379.0697021,0.667859316,
377.9858093,0.667407632,
377.0566101,0.666870177,
375.9723816,0.668559492,
375.0428772,0.669662893,
373.9583435,0.670862198,
373.0285645,0.672519445,
371.9436951,0.674309075,
371.0136414,0.676592827,
369.9284363,0.676355243,
368.9981079,0.678620815,
368.0676575,0.679649353,
366.9819641,0.68347019,
366.051239,0.684092879,
364.9652405,0.684796214,
364.0342407,0.686165333,
362.9479065,0.687106848,
362.0166321,0.690776229,
360.9299927,0.692932665,
359.9984741,0.693877101,
359.066803,0.69666481,
357.9796753,0.701067388,
357.04776,0.700705171,
355.9603271,0.704791963,
355.0281067,0.707466483,
353.9403992,0.712653339,
353.0079041,0.716498554,
352.0753174,0.720082343,
350.9871521,0.725789726,
350.0542908,0.7301507,
348.9657898,0.736516774,
348.0326538,0.741524398,
346.9438782,0.743668318,
346.010498,0.751030147,
345.0769958,0.748788118,
343.9877625,0.757516801,
343.0539856,0.756137073,
341.964447,0.765341938,
341.030426,0.771768451,
339.9405823,0.784516931,
339.0063171,0.782867134,
338.0719299,0.787102759,
336.9816284,0.798160136,
336.0469971,0.805314958,
334.9564209,0.815126836,
334.0215149,0.820952654,
332.9306641,0.828650653,
331.9955139,0.836522579,
331.0602417,0.843940139,
329.9689636,0.851358175,
329.0334473,0.855046928,
327.941864,0.865059793,
327.0061035,0.879535735,
326.0702515,0.889957786,
324.978241,0.898048937,
324.0421143,0.908871949,
322.9498596,0.918073297,
322.0134888,0.926237464,
321.0770264,0.93707037,
319.984314,0.947011352,
319.0476074,0.964238703,
317.9546204,0.972215831,
317.0176697,0.984801948,
315.9244385,1.004212499,
314.9872437,1.02206552,
314.0499268,1.029522419,
312.9562988,1.050099492,
312.0187378,1.069109082,
310.9248047,1.096713424,
309.9870605,1.113103032,
309.0491638,1.13496387,
307.954834,1.15184176,
307.0167236,1.183788061,
305.9221497,1.218702793,
304.9837952,1.253579617,
304.0453491,1.288223982,
302.9503784,1.329891205,
302.0116882,1.366878152,
301.0729065,1.409986734,
299.9775391,1.4504807,
299.0385437,1.497197866,
297.9429016,1.549090743,
297.0036621,1.589238644,
296.0643311,1.641694427,
294.9683228,1.66869235,
294.0287781,1.717003942,
292.9324951,1.759074807,
291.9927368,1.792580128,
291.0528564,1.856727242,
289.9562073,1.895112395,
289.0161133,1.895373106,
288.0759277,1.912267566,
286.9788818,1.995003104,
286.0384827,2.050790548,
284.9412231,2.076732635,
284.0005798,2.161472321,
283.0598755,2.163629532,
281.9622192,2.190546989,
281.0213013,2.240316153,
279.9234314,2.150238514,
278.9822693,2.214893103,
278.0410156,2.236050367,
276.9427795,2.353931665,
276.0013428,2.329770803,
275.0597839,2.489629745,
273.9612122,2.35096693,
273.0194397,2.591871023,
272.0776062,2.536673784,
270.9786682,2.648622036,
270.0365906,2.6208601,
268.937439,2.721748352,
267.9951782,2.836890936,
267.0528259,2.583868265,
265.9533081,2.876814127,
265.0107422,2.897016048,
264.0681152,3.160762548,
262.9682617,2.696012259,
262.0254211,3.29739666,
260.9253235,4.128044605,
259.9822998,3.671416998,
259.0391541,3.184537172,
257.9387512,3.021022081,
256.9954224,3.276842356,
256.052002,2.995614767,
254.9512482,2.869971514,
254.0076599,3.061552525,
253.0639648,2.772473097,
251.9628906,2.929784298,
251.0190125,3.252417088,
250.0750427,3.103978634,
248.9797668,3.619380474,
248.0412445,3.022984266,
246.9461975,3.187506676,
246.0074921,2.878190041,
245.0686951,3.421139956,
243.9733429,3.18036437,
243.0343628,3.095042706,
241.9387817,2.76878953,
240.9996338,2.430689812,
240.0603943,2.809118986,
238.9645081,2.883351088,
238.0251007,3.47227788,
236.9290161,2.636131763,
235.9894104,3.920876265,
235.0497437,2.900626421,
233.9533539,2.907099009,
233.013504,2.393806458,
232.0735779,2.906375885,
230.9768829,3.392859697,
230.0367737,2.881078482,
228.9398956,10,
227.9996185,4.422655582,
227.0592651,4.020664215,
225.9620819,3.962236166,
225.0215607,10,
223.9241943,10,
222.9835052,10,
222.0427399,10,
220.9450836,10,
220.0041504,10,
219.0631409,3.661105871,
217.9651947,3.420397282,
217.0240326,3.434126377,
215.9259033,3.303477526,
214.9845734,3.237629175,
214.0431671,3.227009773,
212.9447632,3.986367941,
212.0032043,3.613035679,
211.0615692,3.218638897,
209.9628906,3.44420743,
209.0211029,3.399596453,
207.9222412,3.73198843,
206.9802856,10,
206.038269,3.285566092,
204.9391479,3.159965754,
203.9969788,3.391507149,
203.0547333,3.024525642,
201.9553528,3.124831676,
201.0129547,3.614608288,
200.0704956,3.394365311,
,,
pwrade lemon lime,,
pwrade lemon lime,,
Collection Time: 1/17/2018 4:31:24 PM,,
Operator Name  :,,
Scan Software Version: 3.00(339),,
Parameter List :,,
Instrument                        Cary 50,,
Instrument Version                3.00,,
Start (nm)                        800.0,,
Stop (nm)                         200.0,,
X Mode                            Nanometers,,
Y Mode                            Abs,,
UV-Vis Scan Rate (nm/min)         600.00,,
UV-Vis Data Interval (nm)         1.00,,
UV-Vis Ave. Time (sec)            0.1000,,
Beam Mode                         Dual Beam,,
Baseline Correction               On,,
Baseline Type                     Baseline correction,,
Baseline File Name,,
Baseline Std Ref File Name,,
Cycle Mode                        Off,,
Comments,,
Method Log     :,,
Method Name    :,,
Date/Time stamp: 1/17/2018 4:29:17 PM,,
Method Modifications:,,
UVVIS SAT Changed: 1/17/2018 4:29:36 PM, Old:0.0125, New:0.1000
Common SAT Changed: 1/17/2018 4:29:36 PM, Old:0.0125, New:0.1000
Common Interval nm Changed: 1/17/2018 4:29:38 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 1/17/2018 4:29:38 PM, Old:0, New:1
End Method Modifications,,
<Current Wavelength> ,200.1,
