V8,,
Wavelength (nm),Abs,
800.0465698,0.128264532,
798.9385376,0.13034451,
797.9685669,0.129116148,
796.99823,0.12865679,
796.0275269,0.129853368,
795.0564575,0.130939022,
793.946228,0.129484519,
792.9743652,0.127736062,
792.0020752,0.129062802,
791.02948,0.131323636,
790.0564575,0.129692614,
788.9439697,0.131497219,
787.9702148,0.130412623,
786.9960327,0.132508993,
786.0214844,0.131408125,
785.0465698,0.131775141,
783.9318848,0.133409023,
782.9561768,0.131356672,
781.9801025,0.131406441,
781.0036621,0.131698191,
780.0268555,0.133972749,
779.0496826,0.133523777,
777.9324341,0.131908372,
776.9544678,0.133379743,
775.9761353,0.134342149,
774.9973755,0.134222612,
774.0183105,0.135379776,
773.0388794,0.133780137,
772.059082,0.135773614,
770.9388428,0.134203777,
769.958252,0.135540098,
768.9772949,0.137212411,
767.9959717,0.135424003,
767.0143433,0.13552697,
766.0322876,0.136769444,
765.0498657,0.137420088,
764.0671387,0.137004763,
762.9435425,0.137801498,
761.9599609,0.140227839,
760.9760742,0.139502153,
759.9918213,0.138236836,
759.0072021,0.138284534,
758.0222168,0.138862923,
757.0369263,0.139632672,
756.0512085,0.139365807,
755.0651855,0.141530857,
753.9378052,0.140933648,
752.9509888,0.140330523,
751.9638672,0.140579209,
750.9763184,0.140782237,
749.9884644,0.142937318,
749.0002441,0.141346112,
748.0116577,0.144000575,
747.0227051,0.14319016,
746.0333862,0.143170044,
745.0437622,0.144834429,
744.053772,0.141871497,
743.0634155,0.143751517,
741.9311523,0.145350203,
740.9400635,0.144609064,
739.9486084,0.145789057,
738.9568481,0.144641236,
737.9646606,0.1482023,
736.972168,0.145669937,
735.9793701,0.145870909,
734.986145,0.146100044,
733.9926147,0.147520393,
732.9987183,0.148043707,
732.0045166,0.148312867,
731.0099487,0.149300218,
730.0150146,0.14936626,
729.0197144,0.150627181,
728.0241089,0.149760068,
727.0281372,0.151754275,
726.0318604,0.151500598,
725.0352173,0.152209237,
724.038208,0.152517438,
723.0408936,0.153032377,
722.0432129,0.153244987,
721.0452271,0.153644547,
720.046875,0.153685302,
719.0481567,0.154635429,
718.0491333,0.15456757,
717.0498047,0.155597001,
716.0500488,0.156290859,
715.0500488,0.156089872,
714.0496216,0.156728879,
713.0489502,0.157145262,
712.0478516,0.158360675,
711.0464478,0.157760993,
710.0447388,0.158346742,
709.0426636,0.158803895,
708.0402832,0.159821287,
707.0375366,0.159684122,
706.0344849,0.161036506,
705.0310669,0.161521658,
704.0273438,0.161166668,
703.0232544,0.162559107,
702.0188599,0.162585706,
701.0140991,0.162995651,
700.0090332,0.163422883,
699.0036621,0.164677471,
697.9979248,0.165457174,
696.9918823,0.165290609,
695.9854736,0.165780351,
694.9787598,0.166965425,
693.9717407,0.166836515,
692.9643555,0.167433873,
691.956665,0.16794081,
690.9486694,0.168533906,
689.9403076,0.169282496,
688.9316406,0.16938369,
688.0667725,0.170584634,
687.0574951,0.170255348,
686.0479126,0.17164883,
685.0379639,0.172073662,
684.02771,0.171304479,
683.0171509,0.17240952,
682.0062256,0.173437104,
680.9949951,0.174145654,
679.9834595,0.175021857,
678.9716187,0.174859509,
677.9594116,0.175809667,
676.9468994,0.175842464,
675.934082,0.176183119,
675.0656738,0.177299067,
674.0523071,0.178713545,
673.0385742,0.178026632,
672.0244751,0.178981677,
671.0101318,0.180497542,
669.9954224,0.180735782,
668.9804077,0.180521667,
667.9650879,0.181342602,
666.9494629,0.181077719,
665.9335327,0.18284379,
665.062439,0.182406262,
664.0458984,0.183771014,
663.0290527,0.183909431,
662.0119019,0.184229702,
660.9944458,0.185296461,
659.9766235,0.185531229,
658.9585571,0.186493367,
657.9401245,0.187483057,
657.0669556,0.186827436,
656.0479736,0.188195273,
655.0286865,0.189702153,
654.0090332,0.189178452,
652.9891357,0.189136118,
651.9689331,0.189788938,
650.9483643,0.19169201,
649.9275513,0.191919431,
649.0523071,0.191960514,
648.0308838,0.192620665,
647.0091553,0.193499163,
645.9871216,0.1938757,
644.9648438,0.194168136,
643.9421997,0.194783166,
643.0653687,0.19495748,
642.0421753,0.196108595,
641.0186768,0.195811227,
639.994873,0.196448281,
638.9707642,0.196934179,
637.9464111,0.197572276,
637.0680542,0.197937653,
636.0430908,0.198713169,
635.0178223,0.200477511,
633.9922485,0.200163022,
632.9664307,0.2005945,
631.9402466,0.201023281,
631.0604248,0.201696575,
630.0336914,0.203631938,
629.0067139,0.20239526,
627.9793701,0.20406279,
626.9517822,0.203549996,
626.0707397,0.204658121,
625.0425415,0.204967678,
624.0140991,0.205204487,
622.9853516,0.205962166,
621.9562988,0.20554243,
620.9269409,0.208249375,
620.0444336,0.207621962,
619.0145874,0.209006563,
617.984375,0.208760843,
616.9539185,0.209948093,
616.0704346,0.211409047,
615.0394287,0.212545112,
614.0081177,0.211665109,
612.9765015,0.213175803,
611.9446411,0.214786142,
611.0599365,0.214697734,
610.0275269,0.215568483,
608.994812,0.215616018,
607.961853,0.217330873,
606.9285278,0.217104733,
606.0426636,0.218844816,
605.0088501,0.219281763,
603.9747314,0.220205888,
602.9403687,0.22119078,
602.0535278,0.221852183,
601.0186157,0.22331436,
599.9833984,0.225201964,
598.947937,0.225250542,
598.0601807,0.226372048,
597.0241699,0.22821632,
595.987854,0.229296371,
594.9512939,0.230224446,
594.062561,0.232082933,
593.0255127,0.233161002,
591.9880981,0.234728083,
590.9505005,0.236739367,
590.0608521,0.238787741,
589.022644,0.24047409,
587.9841919,0.242753729,
586.9454956,0.244337514,
586.0549316,0.246678188,
585.015686,0.249051288,
583.9761963,0.25180468,
582.9364014,0.254965574,
582.0449219,0.257384211,
581.0046387,0.260613203,
579.9640503,0.264957547,
579.0718994,0.267096907,
578.0308228,0.270597547,
576.9894409,0.275838077,
575.9478149,0.280933648,
575.0548096,0.284138084,
574.0126343,0.289407641,
572.9702148,0.294343919,
571.9275513,0.298535079,
571.0336304,0.303720236,
569.9904785,0.311700821,
568.9470215,0.318022043,
568.0524292,0.323857635,
567.0084839,0.331765115,
565.9642334,0.33941561,
565.0689697,0.347157896,
564.024292,0.356709629,
562.9793091,0.365270555,
561.934021,0.375511468,
561.0379028,0.382682204,
559.9921875,0.392847061,
558.946167,0.404086351,
558.0493774,0.414113492,
557.0029297,0.426231802,
555.9561157,0.437527239,
555.0587158,0.446935266,
554.0114746,0.458562911,
552.9639893,0.471068829,
552.065918,0.482073069,
551.0178833,0.495604008,
549.9696655,0.507236064,
549.0709839,0.517135441,
548.0222168,0.528100252,
546.9732056,0.538788855,
546.0739136,0.549574912,
545.0244141,0.560355246,
543.9746704,0.57036674,
543.074707,0.578359187,
542.0245361,0.58862114,
540.9740601,0.597583234,
540.0734863,0.605939031,
539.022522,0.61414367,
537.9713135,0.623461843,
537.0701294,0.62876004,
536.0184326,0.635508001,
534.9665527,0.642581046,
534.0646973,0.649169684,
533.0123291,0.655833721,
531.9596558,0.661295831,
531.0571899,0.666562736,
530.0040894,0.670687854,
528.9507446,0.675871611,
528.0476685,0.681249797,
526.9938965,0.685870409,
525.9398193,0.691158533,
525.0361328,0.693800092,
523.9816284,0.698411763,
522.9268188,0.702187479,
522.022522,0.706627667,
520.9672852,0.709477723,
520.0626221,0.712886095,
519.006958,0.717157185,
517.9509888,0.720341861,
517.0457153,0.724196553,
515.9893188,0.728269398,
514.9326782,0.731505752,
514.0267944,0.733568311,
512.9697266,0.73710835,
512.0634766,0.740709007,
511.0059509,0.743488908,
509.9481506,0.74718523,
509.0413208,0.749732316,
507.9830933,0.752795041,
506.9246216,0.755287468,
506.0171814,0.755948603,
504.9582825,0.759369612,
504.0504456,0.761888087,
502.9910889,0.762608171,
501.9315186,0.762887538,
501.0231018,0.763988555,
499.9630737,0.764814675,
499.0542908,0.765383899,
497.9938354,0.764046252,
496.933136,0.762495577,
496.0237732,0.762459636,
494.9626465,0.75939846,
494.052887,0.757697821,
492.991333,0.753987849,
491.9295349,0.751736522,
491.0192261,0.74944526,
489.9570007,0.745238543,
489.0463257,0.741526544,
487.9836426,0.737113655,
487.0726013,0.73403728,
486.0095215,0.729281783,
484.9461975,0.72322011,
484.0346069,0.720046043,
482.9708557,0.715726435,
482.0588989,0.709842503,
480.9947205,0.70470345,
479.9303284,0.699390829,
479.0177917,0.695301831,
477.9529724,0.68833375,
477.0401001,0.685246825,
475.9748535,0.679795682,
475.061615,0.674230695,
473.9959717,0.669971585,
472.9300842,0.66471231,
472.0162964,0.659173846,
470.9500122,0.654480517,
470.0358582,0.649070382,
468.9691467,0.644058347,
468.054657,0.641164243,
466.9875488,0.635678589,
466.0726929,0.631665289,
465.0051575,0.625635862,
463.9374084,0.62078017,
463.0220337,0.616754353,
461.9538879,0.612469733,
461.038147,0.608284593,
459.9696045,0.603416503,
459.0534973,0.599272609,
457.9845581,0.596046984,
457.0681152,0.591431737,
455.9987488,0.588661969,
454.9291687,0.584089994,
454.0122375,0.580560267,
452.9422607,0.577936411,
452.0249634,0.575080395,
450.9545898,0.572031498,
450.0369568,0.569809079,
448.9661865,0.566613197,
448.0482178,0.564050794,
446.9770508,0.562346041,
446.0587463,0.561024427,
444.9871826,0.559569538,
444.0685425,0.558649004,
442.996582,0.557706833,
441.9244385,0.556908488,
441.0052795,0.556638956,
439.9327393,0.557106853,
439.0132446,0.557294369,
437.9403076,0.557112098,
437.0205078,0.558661342,
435.9472046,0.560265482,
435.0270386,0.559715509,
433.9533386,0.561866105,
433.0328674,0.563132286,
431.9588013,0.564353585,
431.0379944,0.565290272,
429.963562,0.567270458,
429.0424194,0.568234086,
427.9675903,0.57069242,
427.0461426,0.571883023,
425.9709473,0.573539972,
425.0491943,0.576118231,
423.9736023,0.577292323,
423.0515137,0.579421341,
421.9755859,0.581143618,
421.0531616,0.582323015,
419.9768372,0.584335983,
419.0541382,0.5862391,
417.9774475,0.588760376,
417.0544128,0.589713574,
415.977356,0.591913462,
415.0540161,0.593629599,
413.976593,0.59581691,
413.0529175,0.59774524,
411.9751587,0.600349128,
411.051178,0.601391017,
409.9730225,0.604147613,
409.0487671,0.605471551,
407.9702454,0.608401656,
407.0456543,0.609633625,
405.9667969,0.612709403,
405.0419006,0.615464211,
403.9627075,0.617726505,
403.0375061,0.619692087,
401.9579163,0.622202575,
401.0324402,0.625016928,
399.9525146,0.628345251,
,,
V8,,
V8,,
Collection Time: 10/11/2017 2:29:17 PM,,
Operator Name  :,,
Scan Software Version: 3.00(339),,
Parameter List :,,
Instrument                        Cary 50,,
Instrument Version                3.00,,
Start (nm)                        800.0,,
Stop (nm)                         400.0,,
X Mode                            Nanometers,,
Y Mode                            Abs,,
UV-Vis Scan Rate (nm/min)         600.00,,
UV-Vis Data Interval (nm)         1.00,,
UV-Vis Ave. Time (sec)            0.1000,,
Beam Mode                         Dual Beam,,
Baseline Correction               On,,
Baseline Type                     Baseline correction,,
Baseline File Name,,
Baseline Std Ref File Name,,
Cycle Mode                        Off,,
Comments,,
Method Log     :,,
Method Name    :,,
Date/Time stamp: 10/11/2017 2:27:46 PM,,
Method Modifications:,,
UVVIS SAT Changed: 10/11/2017 2:28:04 PM, Old:0.0125, New:0.1000
Common SAT Changed: 10/11/2017 2:28:04 PM, Old:0.0125, New:0.1000
X Stop nm Changed: 10/11/2017 2:28:12 PM, Old:  200.0, New:  400.0
Common Interval nm Changed: 10/11/2017 2:28:12 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 10/11/2017 2:28:12 PM, Old:0, New:1
End Method Modifications,,
<Current Wavelength> ,402,
